کد نماد	گروه	گروه های صنعت	تابلو	نماد	نام لاتین	نماد	نام
IRB5IKCO8751	N2	خودرو و ساخت قطعات	فهرست اوليه	IKCQ1	Iran Khodro-D	18719101	اوراق مشاركت ايران‌ خودرو
IRO1NBAB0001	N2	عرضه برق، گاز، بخاروآب گرم	فهرست اوليه	NBAB1	Abadan PG	آبادا	توليد نيروي برق آبادان
IRO1APPE0001	N2	رايانه و فعاليت‌هاي وابسته به آن	فهرست اوليه	APPE1	Asan Pardakht Pers	آپ	آسان پرداخت پرشين
IRO1ASIA0001	N1	بيمه وصندوق بازنشستگي به جزتامين اجتماعي	تابلو اصلي	ASIA1	Asia Bime	آسيا	بيمه آسيا
IRO1CONT0001	N1	ابزارپزشکي، اپتيکي و اندازه‌گيري	تابلو فرعي	CONT1	Iran Counter	آكنتور	كنتورسازي‌ايران‌
IRR1CONT0101	N1	ابزارپزشکي، اپتيکي و اندازه‌گيري	تابلو فرعي	CONX1	Iran Counter-R	آكنتورح	ح . كنتورسازي‌ايران‌
IRO1ALMN0001	N2	فلزات اساسي	فهرست اوليه	ALMN1	Alomina Iran	آلومينا	آلوميناي ايران
IRO1OPAL0001	N2	استخراج کانه هاي فلزي	فهرست اوليه	OPAL1	Opal Kani Pars	اپال	فرآوري معدني اپال كاني پارس
IRO1ETKA0001	N2	بيمه وصندوق بازنشستگي به جزتامين اجتماعي	فهرست اوليه	ETKA1	Amin Company	اتكام	بيمه اتكايي امين
IRR1ETKA0101	N2	بيمه وصندوق بازنشستگي به جزتامين اجتماعي	فهرست اوليه	ETKX1	Amin Company-R	اتكامح	ح . بيمه اتكايي امين
IRO1ZBAL0001	N2	زراعت و خدمات وابسته	فهرست اوليه	ZBAL1	Ajdad Zarbal Co.	اجداد	مرغ اجداد زربال
IRO1MKBT0001	N1	مخابرات	تابلو اصلي	MKBT1	Iran Tele. Co.	اخابر	مخابرات ايران
IRR1MKBT0101	N1	مخابرات	تابلو اصلي	MKBX1	Iran Tele Co.-R	اخابرح	ح . مخابرات ايران
